Index,True_Label,Label_Text
0,0,NORMAL
1,1,FRAUD
2,1,FRAUD
3,0,NORMAL
4,1,FRAUD
5,1,FRAUD
6,0,NORMAL
7,1,FRAUD
8,1,FRAUD
9,0,NORMAL
10,1,FRAUD
11,1,FRAUD
12,1,FRAUD
13,0,NORMAL
14,0,NORMAL
15,1,FRAUD
16,1,FRAUD
17,0,NORMAL
18,1,FRAUD
19,0,NORMAL
20,0,NORMAL
21,1,FRAUD
22,1,FRAUD
23,0,NORMAL
24,1,FRAUD
25,0,NORMAL
26,1,FRAUD
27,1,FRAUD
28,1,FRAUD
29,1,FRAUD
30,0,NORMAL
31,1,FRAUD
32,0,NORMAL
33,1,FRAUD
34,1,FRAUD
35,0,NORMAL
36,0,NORMAL
37,1,FRAUD
38,0,NORMAL
39,0,NORMAL
40,1,FRAUD
41,0,NORMAL
42,0,NORMAL
43,1,FRAUD
44,1,FRAUD
45,0,NORMAL
46,1,FRAUD
47,1,FRAUD
48,0,NORMAL
49,0,NORMAL
50,0,NORMAL
51,1,FRAUD
52,1,FRAUD
53,0,NORMAL
54,1,FRAUD
55,0,NORMAL
56,1,FRAUD
57,0,NORMAL
58,1,FRAUD
59,0,NORMAL
60,0,NORMAL
61,0,NORMAL
62,1,FRAUD
63,1,FRAUD
64,0,NORMAL
65,1,FRAUD
66,0,NORMAL
67,1,FRAUD
68,1,FRAUD
69,1,FRAUD
70,0,NORMAL
71,0,NORMAL
72,0,NORMAL
73,1,FRAUD
74,1,FRAUD
75,1,FRAUD
76,1,FRAUD
77,0,NORMAL
78,0,NORMAL
79,0,NORMAL
80,1,FRAUD
81,0,NORMAL
82,1,FRAUD
83,0,NORMAL
84,0,NORMAL
85,1,FRAUD
86,1,FRAUD
87,1,FRAUD
88,1,FRAUD
89,1,FRAUD
90,0,NORMAL
91,1,FRAUD
92,1,FRAUD
93,0,NORMAL
94,0,NORMAL
95,0,NORMAL
96,0,NORMAL
97,1,FRAUD
98,0,NORMAL
99,1,FRAUD
100,0,NORMAL
101,1,FRAUD
102,1,FRAUD
103,1,FRAUD
104,1,FRAUD
105,0,NORMAL
106,1,FRAUD
107,1,FRAUD
108,0,NORMAL
109,0,NORMAL
110,1,FRAUD
111,1,FRAUD
112,1,FRAUD
113,1,FRAUD
114,1,FRAUD
115,0,NORMAL
116,0,NORMAL
117,0,NORMAL
118,1,FRAUD
119,1,FRAUD
120,0,NORMAL
121,1,FRAUD
122,0,NORMAL
123,0,NORMAL
124,1,FRAUD
125,1,FRAUD
126,0,NORMAL
127,0,NORMAL
128,1,FRAUD
129,1,FRAUD
130,1,FRAUD
131,1,FRAUD
132,0,NORMAL
133,0,NORMAL
134,0,NORMAL
135,1,FRAUD
136,0,NORMAL
137,0,NORMAL
138,1,FRAUD
139,0,NORMAL
140,1,FRAUD
141,0,NORMAL
142,0,NORMAL
143,1,FRAUD
144,1,FRAUD
145,0,NORMAL
146,0,NORMAL
147,0,NORMAL
148,0,NORMAL
149,1,FRAUD
150,0,NORMAL
151,0,NORMAL
152,0,NORMAL
153,1,FRAUD
154,0,NORMAL
155,0,NORMAL
156,1,FRAUD
157,1,FRAUD
158,1,FRAUD
159,1,FRAUD
160,0,NORMAL
161,1,FRAUD
162,0,NORMAL
163,1,FRAUD
164,1,FRAUD
165,1,FRAUD
166,0,NORMAL
167,1,FRAUD
168,0,NORMAL
169,0,NORMAL
170,1,FRAUD
171,1,FRAUD
172,1,FRAUD
173,1,FRAUD
174,1,FRAUD
175,0,NORMAL
176,1,FRAUD
177,0,NORMAL
178,1,FRAUD
179,1,FRAUD
180,0,NORMAL
181,1,FRAUD
182,1,FRAUD
183,0,NORMAL
184,0,NORMAL
185,0,NORMAL
186,0,NORMAL
187,0,NORMAL
188,0,NORMAL
189,1,FRAUD
190,0,NORMAL
191,0,NORMAL
192,1,FRAUD
193,1,FRAUD
194,0,NORMAL
195,1,FRAUD
196,1,FRAUD
197,1,FRAUD
198,0,NORMAL
199,0,NORMAL
200,0,NORMAL
201,0,NORMAL
202,1,FRAUD
203,1,FRAUD
204,0,NORMAL
205,1,FRAUD
206,1,FRAUD
207,1,FRAUD
208,0,NORMAL
209,1,FRAUD
210,1,FRAUD
211,1,FRAUD
212,1,FRAUD
213,0,NORMAL
214,1,FRAUD
215,1,FRAUD
216,0,NORMAL
217,1,FRAUD
218,0,NORMAL
219,0,NORMAL
220,0,NORMAL
221,1,FRAUD
222,0,NORMAL
223,0,NORMAL
224,0,NORMAL
225,1,FRAUD
226,1,FRAUD
227,1,FRAUD
228,1,FRAUD
229,1,FRAUD
230,1,FRAUD
231,0,NORMAL
232,0,NORMAL
233,1,FRAUD
234,1,FRAUD
235,1,FRAUD
236,1,FRAUD
237,0,NORMAL
238,0,NORMAL
239,1,FRAUD
240,1,FRAUD
241,0,NORMAL
242,1,FRAUD
243,0,NORMAL
244,1,FRAUD
245,1,FRAUD
246,1,FRAUD
247,0,NORMAL
248,0,NORMAL
249,1,FRAUD
250,0,NORMAL
251,0,NORMAL
252,0,NORMAL
253,1,FRAUD
254,0,NORMAL
255,0,NORMAL
256,0,NORMAL
257,1,FRAUD
258,1,FRAUD
259,0,NORMAL
260,0,NORMAL
261,1,FRAUD
262,1,FRAUD
263,0,NORMAL
264,1,FRAUD
265,0,NORMAL
266,1,FRAUD
267,1,FRAUD
268,1,FRAUD
269,0,NORMAL
270,1,FRAUD
271,1,FRAUD
272,0,NORMAL
273,1,FRAUD
274,0,NORMAL
275,1,FRAUD
276,0,NORMAL
277,1,FRAUD
278,0,NORMAL
279,0,NORMAL
280,0,NORMAL
281,1,FRAUD
282,0,NORMAL
283,1,FRAUD
284,0,NORMAL
285,1,FRAUD
286,0,NORMAL
287,0,NORMAL
288,0,NORMAL
289,0,NORMAL
290,1,FRAUD
291,1,FRAUD
292,0,NORMAL
293,1,FRAUD
294,1,FRAUD
295,0,NORMAL
296,0,NORMAL
297,1,FRAUD
298,1,FRAUD
299,0,NORMAL
300,1,FRAUD
301,0,NORMAL
302,0,NORMAL
303,1,FRAUD
304,0,NORMAL
305,0,NORMAL
306,1,FRAUD
307,1,FRAUD
308,1,FRAUD
309,0,NORMAL
310,0,NORMAL
311,1,FRAUD
312,0,NORMAL
313,1,FRAUD
314,0,NORMAL
315,1,FRAUD
316,1,FRAUD
317,1,FRAUD
318,0,NORMAL
319,0,NORMAL
320,0,NORMAL
321,1,FRAUD
322,0,NORMAL
323,0,NORMAL
324,0,NORMAL
325,0,NORMAL
326,1,FRAUD
327,0,NORMAL
328,0,NORMAL
329,1,FRAUD
330,0,NORMAL
331,1,FRAUD
332,1,FRAUD
333,0,NORMAL
334,1,FRAUD
335,1,FRAUD
336,1,FRAUD
337,0,NORMAL
338,1,FRAUD
339,0,NORMAL
340,1,FRAUD
341,1,FRAUD
342,1,FRAUD
343,0,NORMAL
344,1,FRAUD
345,1,FRAUD
346,1,FRAUD
347,1,FRAUD
348,1,FRAUD
349,0,NORMAL
350,0,NORMAL
351,0,NORMAL
352,1,FRAUD
353,0,NORMAL
354,0,NORMAL
355,0,NORMAL
356,0,NORMAL
357,1,FRAUD
358,0,NORMAL
359,1,FRAUD
360,0,NORMAL
361,1,FRAUD
362,0,NORMAL
363,0,NORMAL
364,0,NORMAL
365,0,NORMAL
366,0,NORMAL
367,1,FRAUD
368,1,FRAUD
369,0,NORMAL
370,0,NORMAL
371,0,NORMAL
372,0,NORMAL
373,0,NORMAL
374,0,NORMAL
375,1,FRAUD
376,1,FRAUD
377,1,FRAUD
378,1,FRAUD
379,0,NORMAL
380,0,NORMAL
381,0,NORMAL
382,1,FRAUD
383,1,FRAUD
384,1,FRAUD
385,0,NORMAL
386,0,NORMAL
387,1,FRAUD
388,1,FRAUD
389,0,NORMAL
390,0,NORMAL
391,0,NORMAL
392,1,FRAUD
393,0,NORMAL
394,0,NORMAL
395,0,NORMAL
396,0,NORMAL
397,1,FRAUD
398,0,NORMAL
399,1,FRAUD
400,1,FRAUD
401,0,NORMAL
402,1,FRAUD
403,0,NORMAL
404,0,NORMAL
405,1,FRAUD
406,1,FRAUD
407,0,NORMAL
408,0,NORMAL
409,1,FRAUD
410,0,NORMAL
411,1,FRAUD
412,0,NORMAL
413,0,NORMAL
414,0,NORMAL
415,0,NORMAL
416,1,FRAUD
417,1,FRAUD
418,1,FRAUD
419,1,FRAUD
420,0,NORMAL
421,0,NORMAL
422,0,NORMAL
423,1,FRAUD
424,1,FRAUD
425,0,NORMAL
426,0,NORMAL
427,1,FRAUD
428,1,FRAUD
429,1,FRAUD
430,1,FRAUD
431,0,NORMAL
432,0,NORMAL
433,0,NORMAL
434,0,NORMAL
435,0,NORMAL
436,1,FRAUD
437,0,NORMAL
438,1,FRAUD
439,1,FRAUD
440,0,NORMAL
441,1,FRAUD
442,1,FRAUD
443,0,NORMAL
444,0,NORMAL
445,0,NORMAL
446,0,NORMAL
447,1,FRAUD
448,1,FRAUD
449,0,NORMAL
450,0,NORMAL
451,1,FRAUD
452,1,FRAUD
453,1,FRAUD
454,1,FRAUD
455,1,FRAUD
456,1,FRAUD
457,0,NORMAL
458,0,NORMAL
459,1,FRAUD
460,1,FRAUD
461,1,FRAUD
462,0,NORMAL
463,1,FRAUD
464,0,NORMAL
465,0,NORMAL
466,0,NORMAL
467,1,FRAUD
468,0,NORMAL
469,0,NORMAL
470,0,NORMAL
471,1,FRAUD
